Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,2015,29,11613423,0.2,0.2
Cerebral infarction due to thrombosis of cerebral arteries,I63.3,2011,32,11545442,0.3,0.2
Cerebral infarction due to thrombosis of cerebral arteries,I63.3,2012,25,11551783,0.2,0.2
Cerebral infarction due to thrombosis of cerebral arteries,I63.3,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Cerebral infarction due to thrombosis of cerebral arteries,I63.3,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
Cerebral infarction due to thrombosis of cerebral arteries,I63.3,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
Cerebral infarction due to embolism of cerebral arteries,I63.4,2011,41,11545442,0.4,0.3
Cerebral infarction due to embolism of cerebral arteries,I63.4,2012,38,11551783,0.3,0.3
Cerebral infarction due to embolism of cerebral arteries,I63.4,2013,49,11572232,0.4,0.3
Cerebral infarction due to embolism of cerebral arteries,I63.4,2014,42,11596998,0.4,0.3
Cerebral infarction due to embolism of cerebral arteries,I63.4,2015,57,11613423,0.5,0.4
Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,2013,32,11572232,0.3,0.2
Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,2014,20,11596998,0.2,0.1
Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,2015,31,11613423,0.3,0.2
Other cerebral infarction,I63.8,2012,20,11551783,0.2,0.1
Other cerebral infarction,I63.8,2013,26,11572232,0.2,0.2
Other cerebral infarction,I63.8,2014,39,11596998,0.3,0.2
Other cerebral infarction,I63.8,2015,33,11613423,0.3,0.2
"Cerebral infarction, unspecified",I63.9,2011,130,11545442,1.1,1
"Cerebral infarction, unspecified",I63.9,2012,144,11551783,1.2,1
"Cerebral infarction, unspecified",I63.9,2013,121,11572232,1,0.9
"Cerebral infarction, unspecified",I63.9,2014,111,11596998,1,0.8
"Cerebral infarction, unspecified",I63.9,2015,125,11613423,1.1,0.9
"Stroke, not specified as haemorrhage or infarction",I64,2011,2806,11545442,24.3,20.3
"Stroke, not specified as haemorrhage or infarction",I64,2012,2872,11551783,24.9,20.2
"Stroke, not specified as haemorrhage or infarction",I64,2013,2811,11572232,24.3,19.5
"Stroke, not specified as haemorrhage or infarction",I64,2014,2859,11596998,24.7,19.7
"Stroke, not specified as haemorrhage or infarction",I64,2015,2771,11613423,23.9,18.8
"Cerebral aneurysm, nonruptured",I67.1,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Cerebral aneurysm, nonruptured",I67.1,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Cerebral aneurysm, nonruptured",I67.1,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Cerebral aneurysm, nonruptured",I67.1,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Cerebral atherosclerosis,I67.2,2011,34,11545442,0.3,0.2
Cerebral atherosclerosis,I67.2,2012,29,11551783,0.3,0.2
Cerebral atherosclerosis,I67.2,2013,32,11572232,0.3,0.2
Cerebral atherosclerosis,I67.2,2014,44,11596998,0.4,0.3
Cerebral atherosclerosis,I67.2,2015,135,11613423,1.2,0.9
Other specified cerebrovascular diseases,I67.8,2011,43,11545442,0.4,0.3
Other specified cerebrovascular diseases,I67.8,2012,51,11551783,0.4,0.4
Other specified cerebrovascular diseases,I67.8,2013,43,11572232,0.4,0.3
Other specified cerebrovascular diseases,I67.8,2014,52,11596998,0.4,0.4
Other specified cerebrovascular diseases,I67.8,2015,56,11613423,0.5,0.4
"Cerebrovascular disease, unspecified",I67.9,2011,223,11545442,1.9,1.6
"Cerebrovascular disease, unspecified",I67.9,2012,240,11551783,2.1,1.7
"Cerebrovascular disease, unspecified",I67.9,2013,213,11572232,1.8,1.5
"Cerebrovascular disease, unspecified",I67.9,2014,257,11596998,2.2,1.7
"Cerebrovascular disease, unspecified",I67.9,2015,260,11613423,2.2,1.7
Sequelae of intracerebral haemorrhage,I69.1,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of intracerebral haemorrhage,I69.1,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of intracerebral haemorrhage,I69.1,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of other nontraumatic intracranial haemorrhage,I69.2,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of cerebral infarction,I69.3,2011,26,11545442,0.2,0.2
Sequelae of cerebral infarction,I69.3,2012,24,11551783,0.2,0.2
Sequelae of cerebral infarction,I69.3,2013,20,11572232,0.2,0.1
Sequelae of cerebral infarction,I69.3,2014,25,11596998,0.2,0.2
Sequelae of cerebral infarction,I69.3,2015,23,11613423,0.2,0.2
"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,2011,559,11545442,4.8,4.1
"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,2012,534,11551783,4.6,3.8
"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,2013,537,11572232,4.6,3.8
"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,2014,542,11596998,4.7,3.8
"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,2015,592,11613423,5.1,4
Sequelae of other and unspecified cerebrovascular diseases,I69.8,2011,300,11545442,2.6,2.1
Sequelae of other and unspecified cerebrovascular diseases,I69.8,2012,313,11551783,2.7,2.2
Sequelae of other and unspecified cerebrovascular diseases,I69.8,2013,270,11572232,2.3,1.9
Sequelae of other and unspecified cerebrovascular diseases,I69.8,2014,353,11596998,3,2.4
Sequelae of other and unspecified cerebrovascular diseases,I69.8,2015,358,11613423,3.1,2.4
Generalized and unspecified atherosclerosis,I70.9,2011,335,11545442,2.9,2.4
Generalized and unspecified atherosclerosis,I70.9,2012,341,11551783,3,2.4
Generalized and unspecified atherosclerosis,I70.9,2013,323,11572232,2.8,2.2
Generalized and unspecified atherosclerosis,I70.9,2014,278,11596998,2.4,1.9
Generalized and unspecified atherosclerosis,I70.9,2015,253,11613423,2.2,1.7
Dissection of aorta [any part],I71.0,2011,144,11545442,1.2,1.1
Dissection of aorta [any part],I71.0,2012,117,11551783,1,0.9
Dissection of aorta [any part],I71.0,2013,154,11572232,1.3,1.1
Dissection of aorta [any part],I71.0,2014,162,11596998,1.4,1.2
Dissection of aorta [any part],I71.0,2015,140,11613423,1.2,1.1
"Thoracic aortic aneurysm, ruptured",I71.1,2011,36,11545442,0.3,0.3
"Thoracic aortic aneurysm, ruptured",I71.1,2012,32,11551783,0.3,0.2
"Thoracic aortic aneurysm, ruptured",I71.1,2013,24,11572232,0.2,0.2
"Thoracic aortic aneurysm, ruptured",I71.1,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Thoracic aortic aneurysm, ruptured",I71.1,2015,31,11613423,0.3,0.2
"Thoracic aortic aneurysm, without mention of rupture",I71.2,2011,31,11545442,0.3,0.2
"Thoracic aortic aneurysm, without mention of rupture",I71.2,2012,23,11551783,0.2,0.2
"Thoracic aortic aneurysm, without mention of rupture",I71.2,2013,20,11572232,0.2,0.1
"Thoracic aortic aneurysm, without mention of rupture",I71.2,2014,19,11596998,0.2 (Unreliable),0.1 (Unreliable)
"Thoracic aortic aneurysm, without mention of rupture",I71.2,2015,20,11613423,0.2,0.1
"Abdominal aortic aneurysm, ruptured",I71.3,2011,126,11545442,1.1,0.9
"Abdominal aortic aneurysm, ruptured",I71.3,2012,126,11551783,1.1,0.9
"Abdominal aortic aneurysm, ruptured",I71.3,2013,99,11572232,0.9,0.7
"Abdominal aortic aneurysm, ruptured",I71.3,2014,130,11596998,1.1,0.9
"Abdominal aortic aneurysm, ruptured",I71.3,2015,90,11613423,0.8,0.6
"Abdominal aortic aneurysm, without mention of rupture",I71.4,2011,57,11545442,0.5,0.4
"Abdominal aortic aneurysm, without mention of rupture",I71.4,2012,61,11551783,0.5,0.4
"Abdominal aortic aneurysm, without mention of rupture",I71.4,2013,51,11572232,0.4,0.4
"Abdominal aortic aneurysm, without mention of rupture",I71.4,2014,57,11596998,0.5,0.4
"Abdominal aortic aneurysm, without mention of rupture",I71.4,2015,66,11613423,0.6,0.5
"Aortic aneurysm of unspecified site, ruptured",I71.8,2011,53,11545442,0.5,0.4
"Aortic aneurysm of unspecified site, ruptured",I71.8,2012,45,11551783,0.4,0.3
"Aortic aneurysm of unspecified site, ruptured",I71.8,2013,36,11572232,0.3,0.3
"Aortic aneurysm of unspecified site, ruptured",I71.8,2014,54,11596998,0.5,0.4
"Aortic aneurysm of unspecified site, ruptured",I71.8,2015,48,11613423,0.4,0.3
"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,2011,31,11545442,0.3,0.2
"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,2012,24,11551783,0.2,0.2
"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,2013,19,11572232,0.2 (Unreliable),0.1 (Unreliable)
"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,2014,24,11596998,0.2,0.2
"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
Aneurysm of unspecified site,I72.9,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Aneurysm of unspecified site,I72.9,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
Aneurysm of unspecified site,I72.9,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
Aneurysm of unspecified site,I72.9,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Peripheral vascular disease, unspecified",I73.9,2011,330,11545442,2.9,2.4
"Peripheral vascular disease, unspecified",I73.9,2012,304,11551783,2.6,2.2
"Peripheral vascular disease, unspecified",I73.9,2013,342,11572232,3,2.4
"Peripheral vascular disease, unspecified",I73.9,2014,324,11596998,2.8,2.2
"Peripheral vascular disease, unspecified",I73.9,2015,336,11613423,2.9,2.3
Embolism and thrombosis of other and unspecified parts of aorta,I74.1,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Embolism and thrombosis of unspecified artery,I74.9,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Embolism and thrombosis of unspecified artery,I74.9,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Embolism and thrombosis of unspecified artery,I74.9,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Arteritis, unspecified",I77.6,2013,14,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Disorder of arteries and arterioles, unspecified",I77.9,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Disorder of arteries and arterioles, unspecified",I77.9,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,2011,109,11545442,0.9,0.8
Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,2012,89,11551783,0.8,0.7
Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,2013,125,11572232,1.1,0.9
Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,2014,105,11596998,0.9,0.8
Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,2015,90,11613423,0.8,0.6
"Phlebitis and thrombophlebitis of lower extremities, unspecified",I80.3,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Phlebitis and thrombophlebitis of lower extremities, unspecified",I80.3,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Phlebitis and thrombophlebitis of lower extremities, unspecified",I80.3,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Phlebitis and thrombophlebitis of lower extremities, unspecified",I80.3,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Hypotension, unspecified",I95.9,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Hypotension, unspecified",I95.9,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Hypotension, unspecified",I95.9,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified disorders of circulatory system,I99,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other and unspecified disorders of circulatory system,I99,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Influenza due to identified avian influenza virus,J09,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Influenza due to identified avian influenza virus,J09,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Influenza with pneumonia, influenza virus identified",J10.0,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Influenza with pneumonia, influenza virus identified",J10.0,2013,21,11572232,0.2,0.2
"Influenza with pneumonia, influenza virus identified",J10.0,2014,34,11596998,0.3,0.2
"Influenza with pneumonia, influenza virus identified",J10.0,2015,39,11613423,0.3,0.3
"Influenza with other respiratory manifestations, influenza virus identified",J10.1,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Influenza with other respiratory manifestations, influenza virus identified",J10.1,2014,37,11596998,0.3,0.3
"Influenza with other respiratory manifestations, influenza virus identified",J10.1,2015,36,11613423,0.3,0.2
"Influenza with pneumonia, virus not identified",J11.0,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Influenza with pneumonia, virus not identified",J11.0,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Influenza with pneumonia, virus not identified",J11.0,2013,42,11572232,0.4,0.3
"Influenza with pneumonia, virus not identified",J11.0,2014,61,11596998,0.5,0.4
"Influenza with pneumonia, virus not identified",J11.0,2015,76,11613423,0.7,0.5
"Influenza with other respiratory manifestations, virus not identified",J11.1,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Influenza with other respiratory manifestations, virus not identified",J11.1,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Influenza with other respiratory manifestations, virus not identified",J11.1,2013,47,11572232,0.4,0.3
"Influenza with other respiratory manifestations, virus not identified",J11.1,2014,63,11596998,0.5,0.4
"Influenza with other respiratory manifestations, virus not identified",J11.1,2015,56,11613423,0.5,0.4
"Viral pneumonia, unspecified",J12.9,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Viral pneumonia, unspecified",J12.9,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Viral pneumonia, unspecified",J12.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Viral pneumonia, unspecified",J12.9,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Streptococcus pneumoniae,J13,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Streptococcus pneumoniae,J13,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Streptococcus pneumoniae,J13,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Streptococcus pneumoniae,J13,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Pseudomonas,J15.1,2011,11,11545442,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Pseudomonas,J15.1,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Pseudomonas,J15.1,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to Pseudomonas,J15.1,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to staphylococcus,J15.2,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Pneumonia due to staphylococcus,J15.2,2012,27,11551783,0.2,0.2
Pneumonia due to staphylococcus,J15.2,2013,37,11572232,0.3,0.3
Pneumonia due to staphylococcus,J15.2,2014,34,11596998,0.3,0.2
Pneumonia due to staphylococcus,J15.2,2015,26,11613423,0.2,0.2
Pneumonia due to other streptococci,J15.4,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Pneumonia due to other streptococci,J15.4,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Bacterial pneumonia, unspecified",J15.9,2011,42,11545442,0.4,0.3
"Bacterial pneumonia, unspecified",J15.9,2012,52,11551783,0.5,0.4
"Bacterial pneumonia, unspecified",J15.9,2013,47,11572232,0.4,0.3
"Bacterial pneumonia, unspecified",J15.9,2014,58,11596998,0.5,0.4
"Bacterial pneumonia, unspecified",J15.9,2015,73,11613423,0.6,0.5
"Bronchopneumonia, unspecified",J18.0,2011,29,11545442,0.3,0.2
"Bronchopneumonia, unspecified",J18.0,2012,26,11551783,0.2,0.2
"Bronchopneumonia, unspecified",J18.0,2013,26,11572232,0.2,0.2
"Bronchopneumonia, unspecified",J18.0,2014,28,11596998,0.2,0.2
"Bronchopneumonia, unspecified",J18.0,2015,23,11613423,0.2,0.2
"Lobar pneumonia, unspecified",J18.1,2011,27,11545442,0.2,0.2
"Lobar pneumonia, unspecified",J18.1,2012,25,11551783,0.2,0.2
"Lobar pneumonia, unspecified",J18.1,2013,29,11572232,0.3,0.2
"Lobar pneumonia, unspecified",J18.1,2014,26,11596998,0.2,0.2
"Lobar pneumonia, unspecified",J18.1,2015,24,11613423,0.2,0.2
"Pneumonia, unspecified",J18.9,2011,2058,11545442,17.8,14.9
"Pneumonia, unspecified",J18.9,2012,1976,11551783,17.1,13.9
"Pneumonia, unspecified",J18.9,2013,2038,11572232,17.6,14.3
"Pneumonia, unspecified",J18.9,2014,2032,11596998,17.5,14
"Pneumonia, unspecified",J18.9,2015,2027,11613423,17.5,13.8
"Acute bronchitis, unspecified",J20.9,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Acute bronchitis, unspecified",J20.9,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Other specified diseases of upper respiratory tract,J39.8,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Bronchitis, not specified as acute or chronic",J40,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Bronchitis, not specified as acute or chronic",J40,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Bronchitis, not specified as acute or chronic",J40,2013,15,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Bronchitis, not specified as acute or chronic",J40,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Bronchitis, not specified as acute or chronic",J40,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Unspecified chronic bronchitis,J42,2011,20,11545442,0.2,0.1
Unspecified chronic bronchitis,J42,2012,18,11551783,0.2 (Unreliable),0.1 (Unreliable)
Unspecified chronic bronchitis,J42,2013,24,11572232,0.2,0.2
Unspecified chronic bronchitis,J42,2015,18,11613423,0.2 (Unreliable),0.1 (Unreliable)
"Emphysema, unspecified",J43.9,2011,535,11545442,4.6,4
"Emphysema, unspecified",J43.9,2012,424,11551783,3.7,3.1
"Emphysema, unspecified",J43.9,2013,456,11572232,3.9,3.3
"Emphysema, unspecified",J43.9,2014,406,11596998,3.5,2.9
"Emphysema, unspecified",J43.9,2015,385,11613423,3.3,2.6
Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,2011,1183,11545442,10.2,8.7
Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,2012,1091,11551783,9.4,8
Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,2013,1085,11572232,9.4,7.7
Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,2014,952,11596998,8.2,6.7
Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,2015,959,11613423,8.3,6.6
"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,2011,201,11545442,1.7,1.5
"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,2012,215,11551783,1.9,1.6
"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,2013,214,11572232,1.8,1.5
"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,2014,217,11596998,1.9,1.5
"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,2015,233,11613423,2,1.6
Other specified chronic obstructive pulmonary disease,J44.8,2011,73,11545442,0.6,0.5
Other specified chronic obstructive pulmonary disease,J44.8,2012,64,11551783,0.6,0.5
Other specified chronic obstructive pulmonary disease,J44.8,2013,60,11572232,0.5,0.4
Other specified chronic obstructive pulmonary disease,J44.8,2014,63,11596998,0.5,0.4
Other specified chronic obstructive pulmonary disease,J44.8,2015,71,11613423,0.6,0.5
"Chronic obstructive pulmonary disease, unspecified",J44.9,2011,4795,11545442,41.5,35.5
"Chronic obstructive pulmonary disease, unspecified",J44.9,2012,5048,11551783,43.7,36.4
"Chronic obstructive pulmonary disease, unspecified",J44.9,2013,4978,11572232,43,35.3
"Chronic obstructive pulmonary disease, unspecified",J44.9,2014,4961,11596998,42.8,34.6
"Chronic obstructive pulmonary disease, unspecified",J44.9,2015,5320,11613423,45.8,36.5
Predominantly allergic asthma,J45.0,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Asthma, unspecified",J45.9,2011,108,11545442,0.9,0.8
"Asthma, unspecified",J45.9,2012,123,11551783,1.1,0.9
"Asthma, unspecified",J45.9,2013,117,11572232,1,0.9
"Asthma, unspecified",J45.9,2014,93,11596998,0.8,0.7
"Asthma, unspecified",J45.9,2015,141,11613423,1.2,1.1
Status asthmaticus,J46,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Status asthmaticus,J46,2014,16,11596998,0.1 (Unreliable),0.1 (Unreliable)
Status asthmaticus,J46,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Bronchiectasis,J47,2011,46,11545442,0.4,0.3
Bronchiectasis,J47,2012,49,11551783,0.4,0.4
Bronchiectasis,J47,2013,42,11572232,0.4,0.3
Bronchiectasis,J47,2014,26,11596998,0.2,0.2
Bronchiectasis,J47,2015,52,11613423,0.4,0.4
Pneumoconiosis due to asbestos and other mineral fibres,J61,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Pneumoconiosis due to asbestos and other mineral fibres,J61,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Pneumoconiosis due to asbestos and other mineral fibres,J61,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Pneumoconiosis due to asbestos and other mineral fibres,J61,2014,18,11596998,0.2 (Unreliable),0.1 (Unreliable)
Pneumoconiosis due to asbestos and other mineral fibres,J61,2015,21,11613423,0.2,0.1
Pneumonitis due to food and vomit,J69.0,2011,877,11545442,7.6,6.3
Pneumonitis due to food and vomit,J69.0,2012,885,11551783,7.7,6.2
Pneumonitis due to food and vomit,J69.0,2013,838,11572232,7.2,5.8
Pneumonitis due to food and vomit,J69.0,2014,826,11596998,7.1,5.6
Pneumonitis due to food and vomit,J69.0,2015,876,11613423,7.5,5.9
Adult respiratory distress syndrome,J80,2011,73,11545442,0.6,0.5
Adult respiratory distress syndrome,J80,2012,60,11551783,0.5,0.4
Adult respiratory distress syndrome,J80,2013,61,11572232,0.5,0.5
Adult respiratory distress syndrome,J80,2014,62,11596998,0.5,0.4
Adult respiratory distress syndrome,J80,2015,70,11613423,0.6,0.5
Pulmonary oedema,J81,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
Pulmonary oedema,J81,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Pulmonary oedema,J81,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Pulmonary oedema,J81,2014,26,11596998,0.2,0.2
Pulmonary oedema,J81,2015,20,11613423,0.2,0.1
Alveolar and parietoalveolar conditions,J84.0,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other interstitial pulmonary diseases with fibrosis,J84.1,2011,594,11545442,5.1,4.4
Other interstitial pulmonary diseases with fibrosis,J84.1,2012,559,11551783,4.8,4.1
Other interstitial pulmonary diseases with fibrosis,J84.1,2013,523,11572232,4.5,3.7
Other interstitial pulmonary diseases with fibrosis,J84.1,2014,615,11596998,5.3,4.3
Other interstitial pulmonary diseases with fibrosis,J84.1,2015,591,11613423,5.1,4.1
"Interstitial pulmonary disease, unspecified",J84.9,2011,134,11545442,1.2,1
"Interstitial pulmonary disease, unspecified",J84.9,2012,147,11551783,1.3,1.1
"Interstitial pulmonary disease, unspecified",J84.9,2013,149,11572232,1.3,1.1
"Interstitial pulmonary disease, unspecified",J84.9,2014,155,11596998,1.3,1.1
"Interstitial pulmonary disease, unspecified",J84.9,2015,158,11613423,1.4,1.1
Gangrene and necrosis of lung,J85.0,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
Pyothorax without fistula,J86.9,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Pyothorax without fistula,J86.9,2013,10,11572232,0.1 (Unreliable),0.1 (Unreliable)
Pyothorax without fistula,J86.9,2014,10,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Pleural effusion, not elsewhere classified",J90,2011,50,11545442,0.4,0.3
"Pleural effusion, not elsewhere classified",J90,2012,44,11551783,0.4,0.3
"Pleural effusion, not elsewhere classified",J90,2013,49,11572232,0.4,0.3
"Pleural effusion, not elsewhere classified",J90,2014,44,11596998,0.4,0.3
"Pleural effusion, not elsewhere classified",J90,2015,43,11613423,0.4,0.3
"Pneumothorax, unspecified",J93.9,2011,13,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Pneumothorax, unspecified",J93.9,2012,17,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Pneumothorax, unspecified",J93.9,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Pneumothorax, unspecified",J93.9,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Pneumothorax, unspecified",J93.9,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Acute respiratory failure,J96.0,2011,35,11545442,0.3,0.3
Acute respiratory failure,J96.0,2012,65,11551783,0.6,0.5
Acute respiratory failure,J96.0,2013,71,11572232,0.6,0.5
Acute respiratory failure,J96.0,2014,91,11596998,0.8,0.6
Acute respiratory failure,J96.0,2015,173,11613423,1.5,1.2
Chronic respiratory failure,J96.1,2011,94,11545442,0.8,0.7
Chronic respiratory failure,J96.1,2012,100,11551783,0.9,0.7
Chronic respiratory failure,J96.1,2013,158,11572232,1.4,1.1
Chronic respiratory failure,J96.1,2014,167,11596998,1.4,1.2
Chronic respiratory failure,J96.1,2015,191,11613423,1.6,1.3
"Respiratory failure, unspecified",J96.9,2011,210,11545442,1.8,1.5
"Respiratory failure, unspecified",J96.9,2012,190,11551783,1.6,1.4
"Respiratory failure, unspecified",J96.9,2013,244,11572232,2.1,1.7
"Respiratory failure, unspecified",J96.9,2014,207,11596998,1.8,1.4
"Respiratory failure, unspecified",J96.9,2015,218,11613423,1.9,1.5
Other disorders of lung,J98.4,2011,145,11545442,1.3,1.1
Other disorders of lung,J98.4,2012,144,11551783,1.2,1.1
Other disorders of lung,J98.4,2013,134,11572232,1.2,1
Other disorders of lung,J98.4,2014,136,11596998,1.2,1
Other disorders of lung,J98.4,2015,148,11613423,1.3,1
Other specified respiratory disorders,J98.8,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Other specified respiratory disorders,J98.8,2012,13,11551783,0.1 (Unreliable),0.1 (Unreliable)
Other specified respiratory disorders,J98.8,2014,19,11596998,0.2 (Unreliable),0.1 (Unreliable)
Other specified respiratory disorders,J98.8,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Respiratory disorder, unspecified",J98.9,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Respiratory disorder, unspecified",J98.9,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
