,ICD Chapter,ICD Sub-Chapter,,Cause of death,,id,value
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-harm by handgun discharge,,,52
All Causes,External causes of morbidity and mortality,Intentional self-harm,,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",,,82
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-poisoning by and exposure to other gases and vapours,,,132
All Causes,External causes of morbidity and mortality,Intentional self-harm,,"Intentional self-harm by rifle, shotgun and larger firearm discharge",,,163
All Causes,External causes of morbidity and mortality,Intentional self-harm,,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",,,203
All Causes,External causes of morbidity and mortality,Intentional self-harm,,"Intentional self-harm by hanging, strangulation and suffocation",,,693
All Causes,External causes of morbidity and mortality,Intentional self-harm,,Intentional self-harm by other and unspecified firearm discharge,,,1252
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Drowning and submersion while in bath-tub,,,10
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Exposure to unspecified smoke, fire and flames",,,10
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,,,10
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Exposure to unspecified electric current,,,11
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Exposure to excessive natural heat,,,11
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Other specified threats to breathing,,,12
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,,,12
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Fall on same level from slipping, tripping and stumbling",,,14
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Fall on and from ladder,,,15
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Fall involving wheelchair,,,17
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",,,18
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Inhalation of gastric contents,,,19
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Fall involving bed,,,20
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Struck by thrown, projected or falling object",,,22
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Fall from, out of or through building or structure",,,23
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Other accidental hanging and strangulation,,,23
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Discharge from other and unspecified firearms,,,29
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Exposure to excessive natural cold,,,34
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Unspecified threat to breathing,,,38
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Drowning and submersion while in natural water,,,45
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Inhalation and ingestion of food causing obstruction of respiratory tract,,,52
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Accidental poisoning by and exposure to other gases and vapours,,,52
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Accidental suffocation and strangulation in bed,,,63
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Other fall from one level to another,,,67
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Exposure to unspecified factor causing other and unspecified injury,,,94
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Accidental poisoning by and exposure to alcohol,,,103
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Unspecified drowning and submersion,,,112
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Fall on and from stairs and steps,,,123
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Other fall on same level,,,134
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",,,136
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Exposure to unspecified factor causing fracture,,,140
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Exposure to uncontrolled fire in building or structure,,,186
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Inhalation and ingestion of other objects causing obstruction of respiratory tract,,,357
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Exposure to unspecified factor,,,435
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",,,1217
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,Unspecified fall,,,1320
All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",,,1719
All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,,"Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",,,10
All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,,Sequelae of assault,,,27
All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,,Sequelae of motor-vehicle accident,,,39
All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,,Sequelae of other accidents,,,74
All Causes,External causes of morbidity and mortality,Transport accidents,,"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident",,,10
All Causes,External causes of morbidity and mortality,Transport accidents,,Person injured in collision between car and two- or three-wheeled motor vehicle (traffic),,,10
All Causes,External causes of morbidity and mortality,Transport accidents,,Driver injured in collision with other and unspecified motor vehicles in traffic accident,,,11
All Causes,External causes of morbidity and mortality,Transport accidents,,Driver injured in collision with other and unspecified motor vehicles in traffic accident,,,11
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",,,13
All Causes,External causes of morbidity and mortality,Transport accidents,,Pedestrian injured in unspecified transport accident,,,14
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident",,,15
All Causes,External causes of morbidity and mortality,Transport accidents,,"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",,,17
All Causes,External causes of morbidity and mortality,Transport accidents,,Unspecified whether traffic or nontraffic accident,,,18
All Causes,External causes of morbidity and mortality,Transport accidents,,Person injured in collision between car and heavy transport vehicle (traffic),,,20
All Causes,External causes of morbidity and mortality,Transport accidents,,Person injured in unspecified vehicle accident,,,20
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident",,,21
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in noncollision transport accident, driver injured in traffic accident",,,21
All Causes,External causes of morbidity and mortality,Transport accidents,,Person injured in collision between car and pick-up truck or van (traffic),,,23
All Causes,External causes of morbidity and mortality,Transport accidents,,Unspecified aircraft accident injuring occupant,,,23
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",,,41
All Causes,External causes of morbidity and mortality,Transport accidents,,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",,,48
All Causes,External causes of morbidity and mortality,Transport accidents,,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",,,48
All Causes,External causes of morbidity and mortality,Transport accidents,,Driver injured in collision with other and unspecified motor vehicles in traffic accident,,,56
All Causes,External causes of morbidity and mortality,Transport accidents,,Motorcycle rider [any] injured in unspecified traffic accident,,,65
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",,,68
All Causes,External causes of morbidity and mortality,Transport accidents,,Car occupant [any] injured in unspecified traffic accident,,,86
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",,,121
All Causes,External causes of morbidity and mortality,Transport accidents,,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",,,124
All Causes,External causes of morbidity and mortality,Transport accidents,,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",,,135
All Causes,External causes of morbidity and mortality,Transport accidents,,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,,,178
All Causes,External causes of morbidity and mortality,Transport accidents,,Person injured in collision between other specified motor vehicles (traffic),,,469
All Causes,External causes of morbidity and mortality,Transport accidents,,"Person injured in unspecified motor-vehicle accident, traffic",,,693
All Causes,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors,,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,,,17
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of alcohol, withdrawal state",,,12
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder",,,13
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome",,,14
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder",,,18
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",,,23
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder",,,25
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of alcohol, acute intoxication",,,35
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",,,35
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",,,36
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",,,48
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of alcohol, harmful use",,,166
All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",,,168
All Causes,Mental and behavioural disorders,Mental retardation,,Profound mental retardation,,,18
All Causes,Mental and behavioural disorders,Mental retardation,,Unspecified mental retardation,,,33
All Causes,Mental and behavioural disorders,Mood [affective] disorders,,"Bipolar affective disorder, unspecified",,,14
All Causes,Mental and behavioural disorders,Mood [affective] disorders,,"Depressive episode, unspecified",,,48
All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",,Delirium superimposed on dementia,,,19
All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",,"Delirium, unspecified",,,23
All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",,Multi-infarct dementia,,,68
All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,,,183
All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",,"Vascular dementia, unspecified",,,646
All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",,Unspecified dementia,,,7883
All Causes,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders",,"Schizophrenia, unspecified",,,43
All Causes,Neoplasms,Benign neoplasms,,"Meninges, unspecified - Benign neoplasms",,,60
All Causes,Neoplasms,Malignant neoplasms,,Glottis - Malignant neoplasms,,,10
All Causes,Neoplasms,Malignant neoplasms,,Cerebellum - Malignant neoplasms,,,10
All Causes,Neoplasms,Malignant neoplasms,,"Hypopharynx, unspecified - Malignant neoplasms",,,11
All Causes,Neoplasms,Malignant neoplasms,,"Major salivary gland, unspecified - Malignant neoplasms",,,12
All Causes,Neoplasms,Malignant neoplasms,,Skin of other and unspecified parts of face - Malignant neoplasms,,,12
All Causes,Neoplasms,Malignant neoplasms,,Acute promyelocytic leukaemia - Malignant neoplasms,,,12
All Causes,Neoplasms,Malignant neoplasms,,Chronic leukaemia of unspecified cell type - Malignant neoplasms,,,12
All Causes,Neoplasms,Malignant neoplasms,,"Eye, unspecified - Malignant neoplasms",,,13
All Causes,Neoplasms,Malignant neoplasms,,Retroperitoneum - Malignant neoplasms,,,14
All Causes,Neoplasms,Malignant neoplasms,,"Cerebrum, except lobes and ventricles - Malignant neoplasms",,,14
All Causes,Neoplasms,Malignant neoplasms,,Waldenstrom's macroglobulinaemia - Malignant neoplasms,,,14
All Causes,Neoplasms,Malignant neoplasms,,Ampulla of Vater - Malignant neoplasms,,,15
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of thymus,,,15
All Causes,Neoplasms,Malignant neoplasms,,Urethra - Malignant neoplasms,,,15
All Causes,Neoplasms,Malignant neoplasms,,"Urinary organ, unspecified - Malignant neoplasms",,,15
All Causes,Neoplasms,Malignant neoplasms,,Other ill-defined sites - Malignant neoplasms,,,15
All Causes,Neoplasms,Malignant neoplasms,,Small cell (diffuse) - Malignant neoplasms,,,15
All Causes,Neoplasms,Malignant neoplasms,,Hairy-cell leukaemia - Malignant neoplasms,,,15
All Causes,Neoplasms,Malignant neoplasms,,Ascending colon - Malignant neoplasms,,,17
All Causes,Neoplasms,Malignant neoplasms,,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",,,17
All Causes,Neoplasms,Malignant neoplasms,,Connective and soft tissue of abdomen - Malignant neoplasms,,,17
All Causes,Neoplasms,Malignant neoplasms,,"Female genital organ, unspecified - Malignant neoplasms",,,17
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of renal pelvis,,,17
All Causes,Neoplasms,Malignant neoplasms,,Burkitt's tumour - Malignant neoplasms,,,17
All Causes,Neoplasms,Malignant neoplasms,,Supraglottis - Malignant neoplasms,,,18
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of trachea,,,18
All Causes,Neoplasms,Malignant neoplasms,,Fallopian tube - Malignant neoplasms,,,18
All Causes,Neoplasms,Malignant neoplasms,,Secondary malignant neoplasm of lung - Malignant neoplasms,,,18
All Causes,Neoplasms,Malignant neoplasms,,"Accessory sinus, unspecified - Malignant neoplasms",,,19
All Causes,Neoplasms,Malignant neoplasms,,"Intestinal tract, part unspecified - Malignant neoplasms",,,20
All Causes,Neoplasms,Malignant neoplasms,,Pelvis - Malignant neoplasms,,,20
All Causes,Neoplasms,Malignant neoplasms,,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,,,22
All Causes,Neoplasms,Malignant neoplasms,,"Testis, unspecified - Malignant neoplasms",,,23
All Causes,Neoplasms,Malignant neoplasms,,Caecum - Malignant neoplasms,,,26
All Causes,Neoplasms,Malignant neoplasms,,Brain stem - Malignant neoplasms,,,26
All Causes,Neoplasms,Malignant neoplasms,,"Penis, unspecified - Malignant neoplasms",,,28
All Causes,Neoplasms,Malignant neoplasms,,"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms",,,29
All Causes,Neoplasms,Malignant neoplasms,,"Small intestine, unspecified - Malignant neoplasms",,,30
All Causes,Neoplasms,Malignant neoplasms,,"Biliary tract, unspecified - Malignant neoplasms",,,30
All Causes,Neoplasms,Malignant neoplasms,,"Lower lobe, bronchus or lung - Malignant neoplasms",,,30
All Causes,Neoplasms,Malignant neoplasms,,Sigmoid colon - Malignant neoplasms,,,33
All Causes,Neoplasms,Malignant neoplasms,,"Oropharynx, unspecified - Malignant neoplasms",,,34
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of parotid gland,,,36
All Causes,Neoplasms,Malignant neoplasms,,"Nasopharynx, unspecified - Malignant neoplasms",,,36
All Causes,Neoplasms,Malignant neoplasms,,Extrahepatic bile duct - Malignant neoplasms,,,36
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of vagina,,,36
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of ureter,,,36
All Causes,Neoplasms,Malignant neoplasms,,Other myeloid leukaemia - Malignant neoplasms,,,39
All Causes,Neoplasms,Malignant neoplasms,,Other and unspecified T-cell lymphomas - Malignant neoplasms,,,43
All Causes,Neoplasms,Malignant neoplasms,,Appendix - Malignant neoplasms,,,44
All Causes,Neoplasms,Malignant neoplasms,,"Adrenal gland, unspecified - Malignant neoplasms",,,44
All Causes,Neoplasms,Malignant neoplasms,,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,,,47
All Causes,Neoplasms,Malignant neoplasms,,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,,,49
All Causes,Neoplasms,Malignant neoplasms,,Duodenum - Malignant neoplasms,,,50
All Causes,Neoplasms,Malignant neoplasms,,Abdomen - Malignant neoplasms,,,51
All Causes,Neoplasms,Malignant neoplasms,,Cardia - Malignant neoplasms,,,52
All Causes,Neoplasms,Malignant neoplasms,,"Anus, unspecified - Malignant neoplasms",,,52
All Causes,Neoplasms,Malignant neoplasms,,Ill-defined sites within the digestive system - Malignant neoplasms,,,54
All Causes,Neoplasms,Malignant neoplasms,,"Bone and articular cartilage, unspecified - Malignant neoplasms",,,60
All Causes,Neoplasms,Malignant neoplasms,,Small cleaved cell (diffuse) - Malignant neoplasms,,,63
All Causes,Neoplasms,Malignant neoplasms,,"Mouth, unspecified - Malignant neoplasms",,,65
All Causes,Neoplasms,Malignant neoplasms,,"Upper lobe, bronchus or lung - Malignant neoplasms",,,68
All Causes,Neoplasms,Malignant neoplasms,,"Head, face and neck - Malignant neoplasms",,,73
All Causes,Neoplasms,Malignant neoplasms,,"Peritoneum, unspecified - Malignant neoplasms",,,78
All Causes,Neoplasms,Malignant neoplasms,,"Tonsil, unspecified - Malignant neoplasms",,,79
All Causes,Neoplasms,Malignant neoplasms,,Chronic myeloid leukaemia - Malignant neoplasms,,,85
All Causes,Neoplasms,Malignant neoplasms,,Skin of scalp and neck - Malignant neoplasms,,,86
All Causes,Neoplasms,Malignant neoplasms,,Acute lymphoblastic leukaemia - Malignant neoplasms,,,87
All Causes,Neoplasms,Malignant neoplasms,,"Vulva, unspecified - Malignant neoplasms",,,88
All Causes,Neoplasms,Malignant neoplasms,,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",,,91
All Causes,Neoplasms,Malignant neoplasms,,"Pharynx, unspecified - Malignant neoplasms",,,95
All Causes,Neoplasms,Malignant neoplasms,,"Hodgkin's disease, unspecified - Malignant neoplasms",,,100
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of thyroid gland,,,105
All Causes,Neoplasms,Malignant neoplasms,,Secondary malignant neoplasm of liver - Malignant neoplasms,,,111
All Causes,Neoplasms,Malignant neoplasms,,Large cell (diffuse) - Malignant neoplasms,,,111
All Causes,Neoplasms,Malignant neoplasms,,"Mesothelioma, unspecified - Malignant neoplasms",,,129
All Causes,Neoplasms,Malignant neoplasms,,"Tongue, unspecified - Malignant neoplasms",,,136
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of gallbladder,,,138
All Causes,Neoplasms,Malignant neoplasms,,Acute leukaemia of unspecified cell type - Malignant neoplasms,,,146
All Causes,Neoplasms,Malignant neoplasms,,"B-cell lymphoma, unspecified - Malignant neoplasms",,,156
All Causes,Neoplasms,Malignant neoplasms,,"Leukaemia, unspecified - Malignant neoplasms",,,175
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of rectosigmoid junction,,,182
All Causes,Neoplasms,Malignant neoplasms,,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,,,248
All Causes,Neoplasms,Malignant neoplasms,,"Connective and soft tissue, unspecified - Malignant neoplasms",,,250
All Causes,Neoplasms,Malignant neoplasms,,"Larynx, unspecified - Malignant neoplasms",,,301
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasms of independent (primary) multiple sites,,,310
All Causes,Neoplasms,Malignant neoplasms,,"Cervix uteri, unspecified - Malignant neoplasms",,,326
All Causes,Neoplasms,Malignant neoplasms,,Endometrium - Malignant neoplasms,,,327
All Causes,Neoplasms,Malignant neoplasms,,Chronic lymphocytic leukaemia - Malignant neoplasms,,,341
All Causes,Neoplasms,Malignant neoplasms,,Intrahepatic bile duct carcinoma - Malignant neoplasms,,,366
All Causes,Neoplasms,Malignant neoplasms,,"Malignant neoplasm of uterus, part unspecified",,,383
All Causes,Neoplasms,Malignant neoplasms,,"Liver, unspecified - Malignant neoplasms",,,384
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of rectum,,,603
All Causes,Neoplasms,Malignant neoplasms,,Liver cell carcinoma - Malignant neoplasms,,,603
All Causes,Neoplasms,Malignant neoplasms,,"Stomach, unspecified - Malignant neoplasms",,,629
All Causes,Neoplasms,Malignant neoplasms,,"Malignant melanoma of skin, unspecified - Malignant neoplasms",,,653
All Causes,Neoplasms,Malignant neoplasms,,Acute myeloid leukaemia - Malignant neoplasms,,,665
All Causes,Neoplasms,Malignant neoplasms,,Multiple myeloma - Malignant neoplasms,,,836
All Causes,Neoplasms,Malignant neoplasms,,"Malignant neoplasm of kidney, except renal pelvis",,,983
All Causes,Neoplasms,Malignant neoplasms,,"Brain, unspecified - Malignant neoplasms",,,1040
All Causes,Neoplasms,Malignant neoplasms,,"Bladder, unspecified - Malignant neoplasms",,,1064
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of ovary,,,1111
All Causes,Neoplasms,Malignant neoplasms,,"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",,,1114
All Causes,Neoplasms,Malignant neoplasms,,"Oesophagus, unspecified - Malignant neoplasms",,,1167
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm of prostate,,,1993
All Causes,Neoplasms,Malignant neoplasms,,Malignant neoplasm without specification of site,,,2073
All Causes,Neoplasms,Malignant neoplasms,,"Pancreas, unspecified - Malignant neoplasms",,,2626
All Causes,Neoplasms,Malignant neoplasms,,"Colon, unspecified - Malignant neoplasms",,,3244
All Causes,Neoplasms,Malignant neoplasms,,"Breast, unspecified - Malignant neoplasms",,,3655
All Causes,Neoplasms,Malignant neoplasms,,"Bronchus or lung, unspecified - Malignant neoplasms",,,13280
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,Spinal cord - Uncertain neoplasms,,,10
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Refractory anaemia, unspecified - Uncertain neoplasms",,,11
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,Monoclonal gammopathy - Uncertain neoplasms,,,11
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Brain, supratentorial - Uncertain neoplasms",,,13
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Liver, gallbladder and bile ducts - Uncertain neoplasms",,,14
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified - Uncertain neoplasms",,,14
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,Polycythaemia vera,,,17
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,Other digestive organs - Uncertain neoplasms,,,19
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,Other specified sites - Uncertain neoplasms,,,19
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,Connective and other soft tissue - Uncertain neoplasms,,,22
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",,,32
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Trachea, bronchus and lung - Uncertain neoplasms",,,53
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,Chronic myeloproliferative disease - Uncertain neoplasms,,,107
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Brain, unspecified - Uncertain neoplasms",,,197
All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",,,388
All Causes,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy,,Other specified pregnancy-related conditions,,,15
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on diagnostic imaging and in function studies, without diagnosis",,Abnormal findings on diagnostic imaging of lung,,,17
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,"Shock, unspecified",,,15
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,"Haemorrhage, not elsewhere classified",,,27
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,Cardiogenic shock,,,36
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,Abnormal weight loss,,,42
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,Other specified general symptoms and signs,,,45
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,Malaise and fatigue,,,50
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,Other and unspecified convulsions,,,106
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,Senility,,,303
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs,,Other lack of expected normal physiological development,,,628
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Ill-defined and unknown causes of mortality,,Instantaneous death,,,43
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Ill-defined and unknown causes of mortality,,Sudden infant death syndrome - SIDS,,,325
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Ill-defined and unknown causes of mortality,,Other ill-defined and unspecified causes of mortality,,,1592
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,,"Gangrene, not elsewhere classified",,,13
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,,Other and unspecified abnormalities of breathing,,,16
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,,"Bradycardia, unspecified",,,19
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,,Asphyxia,,,20
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems,,Respiratory arrest,,,61
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,,Other specified symptoms and signs involving the digestive system and abdomen,,,22
All Causes,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,,Dysphagia,,,38
