,,ICD Chapter,ICD Sub-Chapter,Cause of death,
486,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Organ-limited amyloidosis,39
506,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,"Other disorders of electrolyte and fluid balance, not elsewhere classified",70
548,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Other sphingolipidosis,10
608,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Pure hypercholesterolaemia,219
746,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,Volume depletion,296
769,All Causes,"Endocrine, nutritional and metabolic diseases",Metabolic disorders,,
256,All Causes,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,Extreme obesity with alveolar hypoventilation,11
478,All Causes,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,"Obesity, unspecified",207
522,All Causes,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,Other obesity,250
768,All Causes,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation,,
321,All Causes,"Endocrine, nutritional and metabolic diseases","Hypoglycaemia, unspecified",,26
477,All Causes,"Endocrine, nutritional and metabolic diseases","Nutritional deficiency, unspecified",,13
848,All Causes,"Endocrine, nutritional and metabolic diseases",,,
27,All Causes,External causes of morbidity and mortality,Assault,Assault by unspecified means,93
28,All Causes,External causes of morbidity and mortality,Assault,"Assault by smoke, fire and flames",17
29,All Causes,External causes of morbidity and mortality,Assault,Assault by sharp object,175
30,All Causes,External causes of morbidity and mortality,Assault,"Assault by rifle, shotgun and larger firearm discharge",40
31,All Causes,External causes of morbidity and mortality,Assault,Assault by other specified means,75
32,All Causes,External causes of morbidity and mortality,Assault,Assault by other and unspecified firearm discharge,1324
33,All Causes,External causes of morbidity and mortality,Assault,"Assault by hanging, strangulation and suffocation",51
114,All Causes,External causes of morbidity and mortality,Assault,By unspecified person,19
767,All Causes,External causes of morbidity and mortality,Assault,,
223,All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,"Drug or medicament, unspecified",11
519,All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,Other medical procedures,27
678,All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,"Surgical operation with anastomosis, bypass or graft",18
679,All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,Surgical operation with implant of artificial internal device,24
680,All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,"Surgical procedure, unspecified",74
766,All Causes,External causes of morbidity and mortality,Complications of medical and surgical care,,
222,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Drowning and submersion, undetermined intent",19
246,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Exposure to smoke, fire and flames, undetermined intent",10
284,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Hanging, strangulation and suffocation, undetermined intent",11
497,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Other and unspecified firearm discharge, undetermined intent",28
540,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Other specified events, undetermined intent",12
589,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",35
590,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",40
591,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",100
717,All Causes,External causes of morbidity and mortality,Event of undetermined intent,"Unspecified event, undetermined intent",30
765,All Causes,External causes of morbidity and mortality,Event of undetermined intent,,
348,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-harm by crashing of motor vehicle,12
349,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-harm by drowning and submersion,26
350,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-harm by handgun discharge,52
351,All Causes,External causes of morbidity and mortality,Intentional self-harm,"Intentional self-harm by hanging, strangulation and suffocation",693
352,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-harm by jumping from a high place,47
353,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-harm by jumping or lying before moving object,26
354,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-harm by other and unspecified firearm discharge,1252
355,All Causes,External causes of morbidity and mortality,Intentional self-harm,"Intentional self-harm by rifle, shotgun and larger firearm discharge",163
356,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-harm by sharp object,51
357,All Causes,External causes of morbidity and mortality,Intentional self-harm,"Intentional self-harm by smoke, fire and flames",16
358,All Causes,External causes of morbidity and mortality,Intentional self-harm,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",82
359,All Causes,External causes of morbidity and mortality,Intentional self-harm,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",32
360,All Causes,External causes of morbidity and mortality,Intentional self-harm,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",25
361,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,11
362,All Causes,External causes of morbidity and mortality,Intentional self-harm,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",203
363,All Causes,External causes of morbidity and mortality,Intentional self-harm,Intentional self-poisoning by and exposure to other gases and vapours,132
764,All Causes,External causes of morbidity and mortality,Intentional self-harm,,
94,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Accidental suffocation and strangulation in bed,63
95,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Accidental poisoning by and exposure to other gases and vapours,52
96,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",1217
97,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,12
98,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,10
99,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",18
100,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",1719
101,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",136
102,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Accidental poisoning by and exposure to alcohol,103
195,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Discharge from other and unspecified firearms,29
220,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Drowning and submersion while in bath-tub,10
221,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Drowning and submersion while in natural water,45
244,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Exposure to excessive natural cold,34
245,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Exposure to excessive natural heat,11
247,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Exposure to uncontrolled fire in building or structure,186
248,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Exposure to unspecified electric current,11
249,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Exposure to unspecified factor,435
250,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Exposure to unspecified factor causing fracture,140
251,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Exposure to unspecified factor causing other and unspecified injury,94
252,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Exposure to unspecified smoke, fire and flames",10
258,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Fall from, out of or through building or structure",23
259,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Fall involving bed,20
260,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Fall involving wheelchair,17
261,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Fall on and from ladder,15
262,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Fall on and from stairs and steps,123
263,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Fall on same level from slipping, tripping and stumbling",14
339,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Inhalation and ingestion of food causing obstruction of respiratory tract,52
340,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Inhalation and ingestion of other objects causing obstruction of respiratory tract,357
341,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Inhalation of gastric contents,19
491,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Other accidental hanging and strangulation,23
508,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Other fall from one level to another,67
509,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Other fall on same level,134
547,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Other specified threats to breathing,12
671,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,"Struck by thrown, projected or falling object",22
716,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Unspecified drowning and submersion,112
718,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Unspecified fall,1320
729,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,Unspecified threat to breathing,38
763,All Causes,External causes of morbidity and mortality,Other external causes of accidental injury,,
639,All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,Sequelae of assault,27
641,All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,Sequelae of motor-vehicle accident,39
642,All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,Sequelae of other accidents,74
647,All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,"Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",10
762,All Causes,External causes of morbidity and mortality,Sequelae of external causes of morbidity and mortality,,
119,All Causes,External causes of morbidity and mortality,Transport accidents,Car occupant [any] injured in unspecified traffic accident,86
120,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",135
121,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",68
122,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident",21
123,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",121
124,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",41
125,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",13
126,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in noncollision transport accident, driver injured in traffic accident",21
127,All Causes,External causes of morbidity and mortality,Transport accidents,"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident",15
217,All Causes,External causes of morbidity and mortality,Transport accidents,Driver injured in collision with other and unspecified motor vehicles in traffic accident,56
218,All Causes,External causes of morbidity and mortality,Transport accidents,Driver injured in collision with other and unspecified motor vehicles in traffic accident,11
219,All Causes,External causes of morbidity and mortality,Transport accidents,Driver injured in collision with other and unspecified motor vehicles in traffic accident,11
433,All Causes,External causes of morbidity and mortality,Transport accidents,Motorcycle rider [any] injured in unspecified traffic accident,65
434,All Causes,External causes of morbidity and mortality,Transport accidents,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",48
435,All Causes,External causes of morbidity and mortality,Transport accidents,"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",48
436,All Causes,External causes of morbidity and mortality,Transport accidents,"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",17
554,All Causes,External causes of morbidity and mortality,Transport accidents,"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident",10
555,All Causes,External causes of morbidity and mortality,Transport accidents,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",124
556,All Causes,External causes of morbidity and mortality,Transport accidents,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,178
557,All Causes,External causes of morbidity and mortality,Transport accidents,Pedestrian injured in unspecified transport accident,14
570,All Causes,External causes of morbidity and mortality,Transport accidents,Person injured in collision between car and heavy transport vehicle (traffic),20
571,All Causes,External causes of morbidity and mortality,Transport accidents,Person injured in collision between car and pick-up truck or van (traffic),23
572,All Causes,External causes of morbidity and mortality,Transport accidents,Person injured in collision between car and two- or three-wheeled motor vehicle (traffic),10
573,All Causes,External causes of morbidity and mortality,Transport accidents,Person injured in collision between other specified motor vehicles (traffic),469
574,All Causes,External causes of morbidity and mortality,Transport accidents,"Person injured in unspecified motor-vehicle accident, traffic",693
575,All Causes,External causes of morbidity and mortality,Transport accidents,Person injured in unspecified vehicle accident,20
705,All Causes,External causes of morbidity and mortality,Transport accidents,Unspecified aircraft accident injuring occupant,23
732,All Causes,External causes of morbidity and mortality,Transport accidents,Unspecified whether traffic or nontraffic accident,18
761,All Causes,External causes of morbidity and mortality,Transport accidents,,
847,All Causes,External causes of morbidity and mortality,,,
603,All Causes,Mental and behavioural disorders,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,,17
413,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome",14
414,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",48
415,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",36
416,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, acute intoxication",35
417,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",168
418,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, harmful use",166
419,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, residual and late-onset psychotic disorder",13
420,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder",18
421,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of alcohol, withdrawal state",12
422,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder",25
423,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",23
424,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",35
760,All Causes,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use,,
602,All Causes,Mental and behavioural disorders,Mental retardation,Profound mental retardation,18
722,All Causes,Mental and behavioural disorders,Mental retardation,Unspecified mental retardation,33
759,All Causes,Mental and behavioural disorders,Mental retardation,,
14,All Causes,Mental and behavioural disorders,Mood [affective] disorders,"Bipolar affective disorder, unspecified",14
192,All Causes,Mental and behavioural disorders,Mood [affective] disorders,"Depressive episode, unspecified",48
758,All Causes,Mental and behavioural disorders,Mood [affective] disorders,,
190,All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",Delirium superimposed on dementia,19
191,All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders","Delirium, unspecified",23
438,All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",Multi-infarct dementia,68
707,All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",Unspecified dementia,7883
721,All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",Unspecified mental disorder due to brain damage and dysfunction and to physical disease,183
737,All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders","Vascular dementia, unspecified",646
757,All Causes,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders",,
624,All Causes,Mental and behavioural disorders,"Schizophrenia, unspecified",,43
846,All Causes,Mental and behavioural disorders,,,
411,All Causes,Neoplasms,"Meninges, unspecified - Benign neoplasms",,60
4,All Causes,Neoplasms,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",3655
6,All Causes,Neoplasms,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",1040
8,All Causes,Neoplasms,Malignant neoplasms,Brain stem - Malignant neoplasms,26
10,All Causes,Neoplasms,Malignant neoplasms,"Bone and articular cartilage, unspecified - Malignant neoplasms",60
12,All Causes,Neoplasms,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",1064
15,All Causes,Neoplasms,Malignant neoplasms,"Biliary tract, unspecified - Malignant neoplasms",30
16,All Causes,Neoplasms,Malignant neoplasms,"B-cell lymphoma, unspecified - Malignant neoplasms",156
35,All Causes,Neoplasms,Malignant neoplasms,Ascending colon - Malignant neoplasms,17
39,All Causes,Neoplasms,Malignant neoplasms,Appendix - Malignant neoplasms,44
47,All Causes,Neoplasms,Malignant neoplasms,"Anus, unspecified - Malignant neoplasms",52
55,All Causes,Neoplasms,Malignant neoplasms,Ampulla of Vater - Malignant neoplasms,15
69,All Causes,Neoplasms,Malignant neoplasms,"Adrenal gland, unspecified - Malignant neoplasms",44
75,All Causes,Neoplasms,Malignant neoplasms,Acute promyelocytic leukaemia - Malignant neoplasms,12
81,All Causes,Neoplasms,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,665
82,All Causes,Neoplasms,Malignant neoplasms,Acute lymphoblastic leukaemia - Malignant neoplasms,87
83,All Causes,Neoplasms,Malignant neoplasms,Acute leukaemia of unspecified cell type - Malignant neoplasms,146
103,All Causes,Neoplasms,Malignant neoplasms,"Accessory sinus, unspecified - Malignant neoplasms",19
110,All Causes,Neoplasms,Malignant neoplasms,Abdomen - Malignant neoplasms,51
112,All Causes,Neoplasms,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",13280
113,All Causes,Neoplasms,Malignant neoplasms,Burkitt's tumour - Malignant neoplasms,17
115,All Causes,Neoplasms,Malignant neoplasms,Caecum - Malignant neoplasms,26
128,All Causes,Neoplasms,Malignant neoplasms,Cardia - Malignant neoplasms,52
137,All Causes,Neoplasms,Malignant neoplasms,Cerebellum - Malignant neoplasms,10
146,All Causes,Neoplasms,Malignant neoplasms,"Cerebrum, except lobes and ventricles - Malignant neoplasms",14
147,All Causes,Neoplasms,Malignant neoplasms,"Cervix uteri, unspecified - Malignant neoplasms",326
152,All Causes,Neoplasms,Malignant neoplasms,Chronic leukaemia of unspecified cell type - Malignant neoplasms,12
153,All Causes,Neoplasms,Malignant neoplasms,Chronic lymphocytic leukaemia - Malignant neoplasms,341
154,All Causes,Neoplasms,Malignant neoplasms,Chronic myeloid leukaemia - Malignant neoplasms,85
169,All Causes,Neoplasms,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",3244
178,All Causes,Neoplasms,Malignant neoplasms,Connective and soft tissue of abdomen - Malignant neoplasms,17
179,All Causes,Neoplasms,Malignant neoplasms,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",17
180,All Causes,Neoplasms,Malignant neoplasms,"Connective and soft tissue, unspecified - Malignant neoplasms",250
227,All Causes,Neoplasms,Malignant neoplasms,Duodenum - Malignant neoplasms,50
239,All Causes,Neoplasms,Malignant neoplasms,Endometrium - Malignant neoplasms,327
254,All Causes,Neoplasms,Malignant neoplasms,Extrahepatic bile duct - Malignant neoplasms,36
257,All Causes,Neoplasms,Malignant neoplasms,"Eye, unspecified - Malignant neoplasms",13
264,All Causes,Neoplasms,Malignant neoplasms,Fallopian tube - Malignant neoplasms,18
266,All Causes,Neoplasms,Malignant neoplasms,"Female genital organ, unspecified - Malignant neoplasms",17
268,All Causes,Neoplasms,Malignant neoplasms,"Follicular non-Hodgkin's lymphoma, unspecified - Malignant neoplasms",29
277,All Causes,Neoplasms,Malignant neoplasms,Glottis - Malignant neoplasms,10
283,All Causes,Neoplasms,Malignant neoplasms,Hairy-cell leukaemia - Malignant neoplasms,15
285,All Causes,Neoplasms,Malignant neoplasms,"Head, face and neck - Malignant neoplasms",73
304,All Causes,Neoplasms,Malignant neoplasms,"Hodgkin's disease, unspecified - Malignant neoplasms",100
323,All Causes,Neoplasms,Malignant neoplasms,"Hypopharynx, unspecified - Malignant neoplasms",11
330,All Causes,Neoplasms,Malignant neoplasms,Ill-defined sites within the digestive system - Malignant neoplasms,54
366,All Causes,Neoplasms,Malignant neoplasms,"Intestinal tract, part unspecified - Malignant neoplasms",20
372,All Causes,Neoplasms,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,366
376,All Causes,Neoplasms,Malignant neoplasms,Large cell (diffuse) - Malignant neoplasms,111
377,All Causes,Neoplasms,Malignant neoplasms,"Larynx, unspecified - Malignant neoplasms",301
380,All Causes,Neoplasms,Malignant neoplasms,"Leukaemia, unspecified - Malignant neoplasms",175
381,All Causes,Neoplasms,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,603
384,All Causes,Neoplasms,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",384
387,All Causes,Neoplasms,Malignant neoplasms,"Lower lobe, bronchus or lung - Malignant neoplasms",30
389,All Causes,Neoplasms,Malignant neoplasms,"Major salivary gland, unspecified - Malignant neoplasms",12
391,All Causes,Neoplasms,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",653
392,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of gallbladder,138
393,All Causes,Neoplasms,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",983
394,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of ovary,1111
395,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of parotid gland,36
396,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of prostate,1993
397,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of rectosigmoid junction,182
398,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of rectum,603
399,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of renal pelvis,17
400,All Causes,Neoplasms,Malignant neoplasms,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",91
401,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of thymus,15
402,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of thyroid gland,105
403,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of trachea,18
404,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of ureter,36
405,All Causes,Neoplasms,Malignant neoplasms,"Malignant neoplasm of uterus, part unspecified",383
406,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm of vagina,36
407,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasm without specification of site,2073
408,All Causes,Neoplasms,Malignant neoplasms,Malignant neoplasms of independent (primary) multiple sites,310
425,All Causes,Neoplasms,Malignant neoplasms,"Mesothelioma, unspecified - Malignant neoplasms",129
437,All Causes,Neoplasms,Malignant neoplasms,"Mouth, unspecified - Malignant neoplasms",65
440,All Causes,Neoplasms,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,836
451,All Causes,Neoplasms,Malignant neoplasms,"Nasopharynx, unspecified - Malignant neoplasms",36
467,All Causes,Neoplasms,Malignant neoplasms,"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",1114
485,All Causes,Neoplasms,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",1167
487,All Causes,Neoplasms,Malignant neoplasms,"Oropharynx, unspecified - Malignant neoplasms",34
501,All Causes,Neoplasms,Malignant neoplasms,Other and unspecified T-cell lymphomas - Malignant neoplasms,43
516,All Causes,Neoplasms,Malignant neoplasms,Other ill-defined sites - Malignant neoplasms,15
520,All Causes,Neoplasms,Malignant neoplasms,Other myeloid leukaemia - Malignant neoplasms,39
549,All Causes,Neoplasms,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",2626
558,All Causes,Neoplasms,Malignant neoplasms,Pelvis - Malignant neoplasms,20
559,All Causes,Neoplasms,Malignant neoplasms,"Penis, unspecified - Malignant neoplasms",28
568,All Causes,Neoplasms,Malignant neoplasms,"Peritoneum, unspecified - Malignant neoplasms",78
576,All Causes,Neoplasms,Malignant neoplasms,"Pharynx, unspecified - Malignant neoplasms",95
618,All Causes,Neoplasms,Malignant neoplasms,Retroperitoneum - Malignant neoplasms,14
626,All Causes,Neoplasms,Malignant neoplasms,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,22
627,All Causes,Neoplasms,Malignant neoplasms,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,47
628,All Causes,Neoplasms,Malignant neoplasms,Secondary malignant neoplasm of liver - Malignant neoplasms,111
629,All Causes,Neoplasms,Malignant neoplasms,Secondary malignant neoplasm of lung - Malignant neoplasms,18
630,All Causes,Neoplasms,Malignant neoplasms,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,248
631,All Causes,Neoplasms,Malignant neoplasms,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,49
653,All Causes,Neoplasms,Malignant neoplasms,Sigmoid colon - Malignant neoplasms,33
654,All Causes,Neoplasms,Malignant neoplasms,Skin of other and unspecified parts of face - Malignant neoplasms,12
655,All Causes,Neoplasms,Malignant neoplasms,Skin of scalp and neck - Malignant neoplasms,86
657,All Causes,Neoplasms,Malignant neoplasms,Small cell (diffuse) - Malignant neoplasms,15
658,All Causes,Neoplasms,Malignant neoplasms,Small cleaved cell (diffuse) - Malignant neoplasms,63
659,All Causes,Neoplasms,Malignant neoplasms,"Small intestine, unspecified - Malignant neoplasms",30
666,All Causes,Neoplasms,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",629
676,All Causes,Neoplasms,Malignant neoplasms,Supraglottis - Malignant neoplasms,18
684,All Causes,Neoplasms,Malignant neoplasms,"Testis, unspecified - Malignant neoplasms",23
692,All Causes,Neoplasms,Malignant neoplasms,"Tongue, unspecified - Malignant neoplasms",136
693,All Causes,Neoplasms,Malignant neoplasms,"Tonsil, unspecified - Malignant neoplasms",79
733,All Causes,Neoplasms,Malignant neoplasms,"Upper lobe, bronchus or lung - Malignant neoplasms",68
734,All Causes,Neoplasms,Malignant neoplasms,Urethra - Malignant neoplasms,15
735,All Causes,Neoplasms,Malignant neoplasms,"Urinary organ, unspecified - Malignant neoplasms",15
748,All Causes,Neoplasms,Malignant neoplasms,"Vulva, unspecified - Malignant neoplasms",88
749,All Causes,Neoplasms,Malignant neoplasms,Waldenstrom's macroglobulinaemia - Malignant neoplasms,14
756,All Causes,Neoplasms,Malignant neoplasms,,
5,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Brain, unspecified - Uncertain neoplasms",197
7,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,"Brain, supratentorial - Uncertain neoplasms",13
155,All Causes,Neoplasms,Neoplasms of uncertain or unknown behaviour,Chronic myeloproliferative disease - Uncertain neoplasms,107
