ICD Chapter	ICD Sub-Chapter	Cause of death	Deaths
External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to excessive natural heat	11
External causes of morbidity and mortality	Other external causes of accidental injury	Other specified threats to breathing	12
External causes of morbidity and mortality	Other external causes of accidental injury	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances	12
External causes of morbidity and mortality	Other external causes of accidental injury	"Fall on same level from slipping, tripping and stumbling"	14
External causes of morbidity and mortality	Other external causes of accidental injury	Fall on and from ladder	15
External causes of morbidity and mortality	Other external causes of accidental injury	Fall involving wheelchair	17
External causes of morbidity and mortality	Other external causes of accidental injury	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	18
External causes of morbidity and mortality	Other external causes of accidental injury	Inhalation of gastric contents	19
External causes of morbidity and mortality	Other external causes of accidental injury	Fall involving bed	20
External causes of morbidity and mortality	Other external causes of accidental injury	"Struck by thrown, projected or falling object"	22
External causes of morbidity and mortality	Other external causes of accidental injury	"Fall from, out of or through building or structure"	23
External causes of morbidity and mortality	Other external causes of accidental injury	Other accidental hanging and strangulation	23
External causes of morbidity and mortality	Other external causes of accidental injury	Discharge from other and unspecified firearms	29
External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to excessive natural cold	34
External causes of morbidity and mortality	Other external causes of accidental injury	Unspecified threat to breathing	38
External causes of morbidity and mortality	Other external causes of accidental injury	Drowning and submersion while in natural water	45
External causes of morbidity and mortality	Other external causes of accidental injury	Inhalation and ingestion of food causing obstruction of respiratory tract	52
External causes of morbidity and mortality	Other external causes of accidental injury	Accidental poisoning by and exposure to other gases and vapours	52
External causes of morbidity and mortality	Other external causes of accidental injury	Accidental suffocation and strangulation in bed	63
External causes of morbidity and mortality	Other external causes of accidental injury	Other fall from one level to another	67
External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to unspecified factor causing other and unspecified injury	94
External causes of morbidity and mortality	Other external causes of accidental injury	Accidental poisoning by and exposure to alcohol	103
External causes of morbidity and mortality	Other external causes of accidental injury	Unspecified drowning and submersion	112
External causes of morbidity and mortality	Other external causes of accidental injury	Fall on and from stairs and steps	123
External causes of morbidity and mortality	Other external causes of accidental injury	Other fall on same level	134
External causes of morbidity and mortality	Other external causes of accidental injury	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	136
External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to unspecified factor causing fracture	140
External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to uncontrolled fire in building or structure	186
External causes of morbidity and mortality	Other external causes of accidental injury	Inhalation and ingestion of other objects causing obstruction of respiratory tract	357
External causes of morbidity and mortality	Other external causes of accidental injury	Exposure to unspecified factor	435
External causes of morbidity and mortality	Other external causes of accidental injury	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	1217
External causes of morbidity and mortality	Other external causes of accidental injury	Unspecified fall	1320
External causes of morbidity and mortality	Other external causes of accidental injury	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	1719
Diseases of the circulatory system	Other forms of heart disease	Other nonrheumatic mitral valve disorders	11
Diseases of the circulatory system	Other forms of heart disease	Aortic (valve) stenosis with insufficiency	11
Diseases of the circulatory system	Other forms of heart disease	Obstructive hypertrophic cardiomyopathy	14
Diseases of the circulatory system	Other forms of heart disease	Other restrictive cardiomyopathy	14
Diseases of the circulatory system	Other forms of heart disease	Other aortic valve disorders	15
Diseases of the circulatory system	Other forms of heart disease	Supraventricular tachycardia	18
Diseases of the circulatory system	Other forms of heart disease	Left ventricular failure	18
Diseases of the circulatory system	Other forms of heart disease	Mitral (valve) prolapse	20
Diseases of the circulatory system	Other forms of heart disease	"Conduction disorder, unspecified"	20
Diseases of the circulatory system	Other forms of heart disease	Infective myocarditis	21
Diseases of the circulatory system	Other forms of heart disease	"Disease of pericardium, unspecified"	22
Diseases of the circulatory system	Other forms of heart disease	"Atrioventricular block, complete"	25
Diseases of the circulatory system	Other forms of heart disease	Myocardial degeneration	25
Diseases of the circulatory system	Other forms of heart disease	Pericardial effusion (noninflammatory)	26
Diseases of the circulatory system	Other forms of heart disease	"Myocarditis, unspecified"	36
Diseases of the circulatory system	Other forms of heart disease	Sick sinus syndrome	47
Diseases of the circulatory system	Other forms of heart disease	Aortic (valve) insufficiency	53
Diseases of the circulatory system	Other forms of heart disease	Alcoholic cardiomyopathy	53
Diseases of the circulatory system	Other forms of heart disease	Other hypertrophic cardiomyopathy	62
Diseases of the circulatory system	Other forms of heart disease	Ventricular tachycardia	68
Diseases of the circulatory system	Other forms of heart disease	Other specified conduction disorders	71
Diseases of the circulatory system	Other forms of heart disease	Acute and subacute infective endocarditis	111
Diseases of the circulatory system	Other forms of heart disease	Cardiomegaly	116
Diseases of the circulatory system	Other forms of heart disease	Ventricular fibrillation and flutter	128
Diseases of the circulatory system	Other forms of heart disease	"Aortic valve disorder, unspecified"	134
Diseases of the circulatory system	Other forms of heart disease	"Cardiovascular disease, unspecified"	148
Diseases of the circulatory system	Other forms of heart disease	Other ill-defined heart diseases	148
Diseases of the circulatory system	Other forms of heart disease	Mitral (valve) insufficiency	192
Diseases of the circulatory system	Other forms of heart disease	"Sudden cardiac death, so described"	257
Diseases of the circulatory system	Other forms of heart disease	Dilated cardiomyopathy	314
Diseases of the circulatory system	Other forms of heart disease	"Endocarditis, valve unspecified"	408
Diseases of the circulatory system	Other forms of heart disease	"Heart disease, unspecified"	496
Diseases of the circulatory system	Other forms of heart disease	"Heart failure, unspecified"	529
Diseases of the circulatory system	Other forms of heart disease	"Cardiac arrhythmia, unspecified"	764
Diseases of the circulatory system	Other forms of heart disease	Aortic (valve) stenosis	874
Diseases of the circulatory system	Other forms of heart disease	"Cardiac arrest, unspecified"	1179
Diseases of the circulatory system	Other forms of heart disease	Atrial fibrillation and flutter	1410
Diseases of the circulatory system	Other forms of heart disease	"Cardiomyopathy, unspecified"	2039
Diseases of the circulatory system	Other forms of heart disease	Congestive heart failure	3618
Certain infectious and parasitic diseases	Other infectious diseases	Other and unspecified infectious diseases	24
"Pregnancy, childbirth and the puerperium"	Other maternal disorders predominantly related to pregnancy	Other specified pregnancy-related conditions	15
"Endocrine, nutritional and metabolic diseases"	Other nutritional deficiencies	"Nutritional deficiency, unspecified"	13
Diseases of the respiratory system	Other respiratory diseases principally affecting the interstitium	Alveolar and parietoalveolar conditions	12
Diseases of the respiratory system	Other respiratory diseases principally affecting the interstitium	Pulmonary oedema	57
Diseases of the respiratory system	Other respiratory diseases principally affecting the interstitium	Adult respiratory distress syndrome	138
Diseases of the respiratory system	Other respiratory diseases principally affecting the interstitium	"Interstitial pulmonary disease, unspecified"	223
Diseases of the respiratory system	Other respiratory diseases principally affecting the interstitium	Other interstitial pulmonary diseases with fibrosis	1084
Certain infectious and parasitic diseases	Other viral diseases	"Viral infection, unspecified"	16
Diseases of the nervous system	Polyneuropathies and other disorders of the peripheral nervous system	Guillain-Barre syndrome	17
Diseases of the nervous system	Polyneuropathies and other disorders of the peripheral nervous system	"Polyneuropathy, unspecified"	22
Diseases of the circulatory system	Pulmonary heart disease and diseases of pulmonary circulation	Other specified pulmonary heart diseases	11
Diseases of the circulatory system	Pulmonary heart disease and diseases of pulmonary circulation	"Pulmonary heart disease, unspecified"	85
Diseases of the circulatory system	Pulmonary heart disease and diseases of pulmonary circulation	Primary pulmonary hypertension	115
Diseases of the circulatory system	Pulmonary heart disease and diseases of pulmonary circulation	Other secondary pulmonary hypertension	400
Diseases of the circulatory system	Pulmonary heart disease and diseases of pulmonary circulation	Pulmonary embolism without mention of acute cor pulmonale	654
Diseases of the genitourinary system	Renal failure	Acute renal failure with tubular necrosis	12
Diseases of the genitourinary system	Renal failure	"Chronic kidney disease, stage 5"	528
Diseases of the genitourinary system	Renal failure	End-stage renal disease	531
Diseases of the genitourinary system	Renal failure	"Chronic renal failure, unspecified"	674
Diseases of the genitourinary system	Renal failure	"Acute renal failure, unspecified"	678
Diseases of the genitourinary system	Renal failure	Unspecified renal failure	892
Diseases of the genitourinary system	Renal tubulo-interstitial diseases	"Obstructive and reflux uropathy, unspecified"	22
Diseases of the genitourinary system	Renal tubulo-interstitial diseases	"Tubulo-interstitial nephritis, not specified as acute or chronic"	35
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	"Intrauterine hypoxia, unspecified"	15
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	Unspecified pulmonary haemorrhage originating in the perinatal period	18
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	Bronchopulmonary dysplasia originating in the perinatal period	18
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	"Birth asphyxia, unspecified"	35
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	Primary atelectasis of newborn	38
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	Neonatal cardiac failure	40
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	Neonatal cardiac dysrhythmia	65
Certain conditions originating in the perinatal period	Respiratory and cardiovascular disorders specific to the perinatal period	Respiratory distress syndrome of newborn	68
Mental and behavioural disorders	"Schizophrenia, schizotypal and delusional disorders"	"Schizophrenia, unspecified"	43
External causes of morbidity and mortality	Sequelae of external causes of morbidity and mortality	"Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"	10
External causes of morbidity and mortality	Sequelae of external causes of morbidity and mortality	Sequelae of assault	27
External causes of morbidity and mortality	Sequelae of external causes of morbidity and mortality	Sequelae of motor-vehicle accident	39
External causes of morbidity and mortality	Sequelae of external causes of morbidity and mortality	Sequelae of other accidents	74
Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of poliomyelitis	31
Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of viral hepatitis	33
Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of other specified infectious and parasitic diseases	44
Diseases of the musculoskeletal system and connective tissue	Soft tissue disorders	"Myositis, unspecified"	11
Diseases of the musculoskeletal system and connective tissue	Soft tissue disorders	Necrotizing fasciitis	38
Diseases of the musculoskeletal system and connective tissue	Soft tissue disorders	Other specified disorders of muscle	41
Diseases of the respiratory system	Suppurative and necrotic conditions of lower respiratory tract	Abscess of lung without pneumonia	17
Diseases of the respiratory system	Suppurative and necrotic conditions of lower respiratory tract	Pyothorax without fistula	23
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Symptoms and signs involving the circulatory and respiratory systems	"Gangrene, not elsewhere classified"	13
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Symptoms and signs involving the circulatory and respiratory systems	Other and unspecified abnormalities of breathing	16
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Symptoms and signs involving the circulatory and respiratory systems	"Bradycardia, unspecified"	19
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Symptoms and signs involving the circulatory and respiratory systems	Asphyxia	20
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Symptoms and signs involving the circulatory and respiratory systems	Respiratory arrest	61
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Symptoms and signs involving the digestive system and abdomen	Other specified symptoms and signs involving the digestive system and abdomen	22
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	Symptoms and signs involving the digestive system and abdomen	Dysphagia	38
Diseases of the nervous system	Systemic atrophies primarily affecting the central nervous system	Early-onset cerebellar ataxia	11
Diseases of the nervous system	Systemic atrophies primarily affecting the central nervous system	Huntington's disease	92
Diseases of the nervous system	Systemic atrophies primarily affecting the central nervous system	Motor neuron disease	542
Diseases of the musculoskeletal system and connective tissue	Systemic connective tissue disorders	Polymyositis	10
Diseases of the musculoskeletal system and connective tissue	Systemic connective tissue disorders	Thrombotic microangiopathy	18
Diseases of the musculoskeletal system and connective tissue	Systemic connective tissue disorders	"Systemic involvement of connective tissue, unspecified"	18
Diseases of the musculoskeletal system and connective tissue	Systemic connective tissue disorders	Wegener's granulomatosis	27
Diseases of the musculoskeletal system and connective tissue	Systemic connective tissue disorders	"Systemic sclerosis, unspecified"	30
Diseases of the musculoskeletal system and connective tissue	Systemic connective tissue disorders	Other forms of systemic sclerosis	68
Diseases of the musculoskeletal system and connective tissue	Systemic connective tissue disorders	Systemic lupus erythematosus with organ or system involvement	81
External causes of morbidity and mortality	Transport accidents	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	10
External causes of morbidity and mortality	Transport accidents	Person injured in collision between car and two- or three-wheeled motor vehicle (traffic)	10
External causes of morbidity and mortality	Transport accidents	Driver injured in collision with other and unspecified motor vehicles in traffic accident	11
External causes of morbidity and mortality	Transport accidents	Driver injured in collision with other and unspecified motor vehicles in traffic accident	11
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	13
External causes of morbidity and mortality	Transport accidents	Pedestrian injured in unspecified transport accident	14
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident"	15
External causes of morbidity and mortality	Transport accidents	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	17
External causes of morbidity and mortality	Transport accidents	Unspecified whether traffic or nontraffic accident	18
External causes of morbidity and mortality	Transport accidents	Person injured in collision between car and heavy transport vehicle (traffic)	20
External causes of morbidity and mortality	Transport accidents	Person injured in unspecified vehicle accident	20
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	21
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	21
External causes of morbidity and mortality	Transport accidents	Person injured in collision between car and pick-up truck or van (traffic)	23
External causes of morbidity and mortality	Transport accidents	Unspecified aircraft accident injuring occupant	23
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	41
External causes of morbidity and mortality	Transport accidents	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	48
External causes of morbidity and mortality	Transport accidents	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	48
External causes of morbidity and mortality	Transport accidents	Driver injured in collision with other and unspecified motor vehicles in traffic accident	56
External causes of morbidity and mortality	Transport accidents	Motorcycle rider [any] injured in unspecified traffic accident	65
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	68
External causes of morbidity and mortality	Transport accidents	Car occupant [any] injured in unspecified traffic accident	86
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	121
External causes of morbidity and mortality	Transport accidents	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	124
External causes of morbidity and mortality	Transport accidents	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	135
External causes of morbidity and mortality	Transport accidents	Pedestrian injured in traffic accident involving other and unspecified motor vehicles	178
External causes of morbidity and mortality	Transport accidents	Person injured in collision between other specified motor vehicles (traffic)	469
External causes of morbidity and mortality	Transport accidents	"Person injured in unspecified motor-vehicle accident, traffic"	693
Certain infectious and parasitic diseases	Tuberculosis	Tuberculosis of bones and joints	10
Certain infectious and parasitic diseases	Tuberculosis	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	13
Certain infectious and parasitic diseases	Tuberculosis	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	24
Diseases of the genitourinary system	Urolithiasis	Calculus of kidney	29
Certain infectious and parasitic diseases	Viral hepatitis	Unspecified viral hepatitis without hepatic coma	11
Certain infectious and parasitic diseases	Viral hepatitis	Chronic viral hepatitis B without delta-agent	12
Certain infectious and parasitic diseases	Viral hepatitis	Acute hepatitis B without delta-agent and without hepatic coma	32
Certain infectious and parasitic diseases	Viral hepatitis	Acute hepatitis C	63
Certain infectious and parasitic diseases	Viral hepatitis	Chronic viral hepatitis C	236
Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral encephalitis	10
Certain infectious and parasitic diseases	Viral infections of the central nervous system	Unspecified viral encephalitis	14
Certain infectious and parasitic diseases	Viral infections of the central nervous system	Creutzfeldt-Jakob disease - CJD	32
